"C-ID","record_id","language","kind","words","characters","source","text_sha256"
"C-001","full-text","ru","editorial","308","2396","https://constitution.my/p/full-text?lang=ru","b02166983e3b26cf04c45f4aa3506b09d212a28c80a0079f9299c65a915edd2a"
"C-001","how-developed","ru","editorial","348","2988","https://constitution.my/p/how-developed?lang=ru","0e73e7fb717a09a0a551813d4f896d64e3b0551e37d697d796f59e59d4815d8c"
"C-001","constitution-how-to-read-simple","ru","editorial","225","1731","https://constitution.my/p/constitution-how-to-read-simple?lang=ru","673f7ab70435f147091545c4a66a155ec61251f3f8d7fd2a6838aa6ed0404112"
"C-001","why-update","ru","editorial","407","3367","https://constitution.my/p/why-update?lang=ru","8e87e4e22894d753dfbb4d466906a49ce35accb706aaea4c324e861461a121cc"
"C-001","constitution-levels-of-law","ru","editorial","262","2118","https://constitution.my/p/constitution-levels-of-law?lang=ru","6b8c688a11578aced239ee3683f8e45e35d630ce49a8b407f327cc32d72dfe07"
"C-001","what-is-constitution","ru","editorial","246","2065","https://constitution.my/p/what-is-constitution?lang=ru","eeb81d3f5d2f9cc82d9f7796017911cbc0e0d0d82d4c146d7156804991ed8bb7"
"C-001","key-changes","ru","editorial","503","4445","https://constitution.my/p/key-changes?lang=ru","e6b04c1cf953bbd101f759e98e2ed6cbb75197a9b4caa06d07b07b3f121b74a9"
"C-001","rights-limits","ru","editorial","341","2492","https://constitution.my/p/rights-limits?lang=ru","e8d70b46747e49792bf537a8c8715b0bb4722753ec5545ccda50f18873546e87"
"C-001","constitution-direct-effect","ru","editorial","204","1651","https://constitution.my/p/constitution-direct-effect?lang=ru","c635d9348abc98bf69b80aa86fd7873f6610223401351b6d3f7f482530b1a2e4"
"C-001","rights-obligations","ru","editorial","213","1897","https://constitution.my/p/rights-obligations?lang=ru","fcd55114c3b8d34b86c64f472e6a9419e8a77196bb49edee26d55eddd908305b"
"C-001","rights-digital","ru","editorial","322","2655","https://constitution.my/p/rights-digital?lang=ru","03e9ca4d2e024adc43665a5f777f48536b40308ca1eaff9fbd5e75b97499f5de"
"C-001","rights-emergency-regimes","ru","editorial","279","2084","https://constitution.my/p/rights-emergency-regimes?lang=ru","54a061eb1bb3d5bbb711ea62f66ce28ebd96c5531321cc0d6bcf5e9265cda994"
"C-001","rights-basic-list","ru","editorial","363","3135","https://constitution.my/p/rights-basic-list?lang=ru","0976f35508a29864b695f8ff690d03caec59898f55d9bfd1b6d3d8ebafbea187"
"C-001","life-personal-data-leaked","ru","editorial","251","2175","https://constitution.my/p/life-personal-data-leaked?lang=ru","76abd8e3de3b3f09ff2e883c263144ecf1823f2980046d772d2405e9c7f51d94"
"C-001","life-detained-by-police","ru","editorial","226","1773","https://constitution.my/p/life-detained-by-police?lang=ru","6bea842470212e77d0729a0bc47fc169884b7338603a57c31f5cc36260181268"
"C-001","rights-how-to-protect","ru","editorial","441","3442","https://constitution.my/p/rights-how-to-protect?lang=ru","95cbbd947ece84ad90e5a46c3cc2ebc58a3e2e2e8e20b959219c3c9e3feb7f6e"
"C-001","rights-detention","ru","editorial","218","1781","https://constitution.my/p/rights-detention?lang=ru","43ed4c5a7d3dbf8dbaa92bae733ed568f021192f04505e572e29bc3ae8ff78be"
"C-001","national-bank","ru","editorial","232","2067","https://constitution.my/p/national-bank?lang=ru","52d0fe89b20b9793ce91d5d3af065b7855ceadabb8d9fca2d77f253a8aff534d"
"C-001","government","ru","editorial","228","2242","https://constitution.my/p/government?lang=ru","83c4fc0b070f974194ccfd0139352cabf53746b80a360e146c3bd5b5de4eec4f"
"C-001","kurultai","ru","editorial","389","3360","https://constitution.my/p/kurultai?lang=ru","a1edc8fdcedeef61649ffbaca961befff63c4b018edb7ecb91a4e668e764f4d9"
